Linea;Línea Unificada;Canal de distribución;Anio;Mes;Fecha;Fac Impo Bruto;Costo Total Com;Fac Kilos;Comercial Kilos;Rendimiento;Precio
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;11/10/2019;100357;52333;610;-1980;48024;165
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;14/10/2019;0;613316;0;5940;-613316;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;15/10/2019;2616902;468064;18030;326;2148838;145
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;16/10/2019;714005;106075;4435;-4260;607930;161
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;17/10/2019;955433;257273;5690;4680;698160;168
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;18/10/2019;1687273;215941;10832;3210;1471332;156
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;21/10/2019;8122148;1375319;51794;24510;6746829;157
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;22/10/2019;3912500;303890;24200;1480;3608610;162
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;23/10/2019;510410;89992;3110;-2075;420418;164
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;24/10/2019;247249;130885;1484;9275;116364;167
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;25/10/2019;497551;80422;2995;-9152;417129;166
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;28/10/2019;2048577;988046;12480;10730;1060531;164
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;29/10/2019;1079547;1201017;6624;16805;-121470;163
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;30/10/2019;365193;2148907;2219;30176;-1783714;165
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;31/10/2019;2343581;5287855;14080;74025;-2944274;166
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;1/11/2019;219472;14575;1325;1317;204897;166
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;4/11/2019;1293509;-3309;7639;7585;1296818;169
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;5/11/2019;36023;-350;204;-3620;36373;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;6/11/2019;1037316;590499;6225;3845;446817;167
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;7/11/2019;4427053;104640;25090;1440;4322413;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;8/11/2019;6338083;431323;35490;4437;5906760;179
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;11/11/2019;3780579;631528;21865;8635;3149051;173
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;12/11/2019;2162580;0;12550;3975;2162580;172
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;13/11/2019;1899358;512200;11100;2779;1387158;171
